Name,Assets,Assets (names)
Ethereum,"https://www.notion.so/Wrapped-Ether-Ethereum-3ec990b5a34b43fbaea795cd372c42e2, https://www.notion.so/Ankr-Eth2-Reward-Bearing-Certificate-c7f3e3ce3ecd46649002d5ce6b228749, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904, https://www.notion.so/Alchemix-ETH-Ethereum-7387197fe1984e539f74112da3cee78e, https://www.notion.so/Alpha-Token-0d006dce1ade41d68746231f543210df, https://www.notion.so/Alchemix-USD-Ethereum-d702827593794825911bb10070422839, https://www.notion.so/Axie-Infinity-Shard-178676cd5fda4652872c79eeecc6297b, https://www.notion.so/Balancer-Ethereum-c546798aa5e749eab74dd89382964601, https://www.notion.so/Bend-Token-8e91dcd16323418fa65ad18537e0fd5e, https://www.notion.so/Boosted-LUSD-f0509f75519e497297ebc010cb217851, https://www.notion.so/Bancor-1615ff6a0a1b40e2b5d43309f90f5b8d, https://www.notion.so/Binance-Wrapped-BTC-8ed00d7578444512bc4d6a67613fe96f, https://www.notion.so/renBTC-Ethereum-d688c3ccef8b4b408d3b30c160d9dc83, https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73, https://www.notion.so/BTRFLY-8d1f71a4e25449168bee55b86f233084, https://www.notion.so/Binance-USD-Ethereum-ec0255ecb8b84985bafeaaf4b1a8e032, https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864, https://www.notion.so/Compound-Collateral-3740a978c623474880bc4896632ab71f, https://www.notion.so/Compound-43ad44f09a8946d0943e1c942852c55b, https://www.notion.so/Convex-CRV-64f033ae25b04a36bac341af2556a959, https://www.notion.so/Curve-DAO-Token-Ethereum-df950fa87eb44d85b26c1a0d26991e3f, https://www.notion.so/Convex-Token-8d2304008b3849e3b50a1616890ccb2d, https://www.notion.so/iearn-DAI-dd0f8fe29ea44d0780cd33510e7164c4, https://www.notion.so/Aave-interest-bearing-DAI-49617890d8f346aba86819f4344c7c70, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/Iron-Bank-Yearn-Dai-Stablecoin-d521bda10716421ebc76cbed433f1231, https://www.notion.so/dYdX-d890e23342844f528646ea4c18f686ac, https://www.notion.so/Ethereum-Name-Service-4cd299bdab0a44a895f2182ce534aa56, https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426, https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Fei-USD-9a3141f42bd24af0a1038731a4003c60, https://www.notion.so/Fidu-fc46116cee9f42429e0a493ed95ae1eb, https://www.notion.so/Manifold-Finance-4fb29804f8484d278828b5edff5aeebe, https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/Frax-Ether-7125030fffb04b6f9dbe876def5784fe, https://www.notion.so/Convex-FXS-0e40a65ddc5046b9810c77a4d2d66319, https://www.notion.so/Frax-Share-Ethereum-92bf192a1b2c4c9b932dd9efe964f9c8, https://www.notion.so/Gemini-dollar-1fef85b3aab74e199cac0b41b8315ed8, https://www.notion.so/Illuvium-c3d8607c10e34827a80253281dd1683f, https://www.notion.so/ChainLink-Token-Ethereum-82f42381a4b54f4090668176719bf929, https://www.notion.so/LooksRare-Token-e9ade4c5dc054c268d633fefa6911676, https://www.notion.so/LUSD-Stablecoin-Ethereum-b727ad5e1fb647e2908281c8bfd949a6, https://www.notion.so/Stader-MaticX-Ethereum-02c246469a204b3685143de648ad5acd, https://www.notion.so/Matic-Token-Ethereum-01baf2451bba47309baf4cdb5b19415f, https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/Maker-Ethereum-5431a2791481435399857e450c1c9c9a, https://www.notion.so/multiBTC-c5e2fc0ce2334655a96b8d61bd7616a8, https://www.notion.so/mStable-USD-d4b0b7fcd88844bfad74f0e523868858, https://www.notion.so/NXM-cef6c38c1eb64b8bac3783bb5751f0d0, https://www.notion.so/Olympus-a6458fd8eaaa48f6a7726c10f27477d6, https://www.notion.so/Origin-Dollar-41d59c66d1434b49913986f849bf6c7e, https://www.notion.so/Rocket-Pool-ETH-Ethereum-f2ff381ee89d46a7be45151919db9722, https://www.notion.so/THORChain-ETH-RUNE-7d8824549b4d4df6a2863204864e1b65, https://www.notion.so/SAND-5e54ff7fd3774d3eb66f9f35f32ca6dc, https://www.notion.so/Synth-BTC-c92708d2db9941eb938d778badb96f6a, https://www.notion.so/Staked-Frax-Ether-9fc7706e0b7747c2843b506ea2c2e276, https://www.notion.so/Wrapped-SOL-Wormhole-Ethereum-99c63c35481e469ba00e58157590d1d0, https://www.notion.so/Spell-Token-Ethereum-eed3743e2bfa40abb3b041fc6dd0e8a3, https://www.notion.so/Lido-Staked-MATIC-Ethereum-0d086f72adfd43e2a6da4dbe1f610529, https://www.notion.so/Synth-USD-0e11b81f7fd2428795ce2eb0e53019ee, https://www.notion.so/Sushi-Token-Ethereum-bafa2ba45e9e44fd86f438aac31776f2, https://www.notion.so/TrueUSD-Ethereum-20a56962bff44cd69082a954b1d4fdf0, https://www.notion.so/Uniswap-Ethereum-c761ee66b1d44b6ba5647806bcaf3a0a, https://www.notion.so/iearn-USDC-baeaf6e964d04e709eb66f3e5b8c07d6, https://www.notion.so/Aave-interest-bearing-USDC-9fe03c7de3e341419dd7aeea339abe14, https://www.notion.so/Iron-Bank-Yearn-USD-Coin-75557efb40fb44f8aaf7ee31a67d3004, https://www.notion.so/Compound-USD-Coin-43d0627822744720bed86c1205f91677, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/iearn-USDT-ff4e58acb76b417088f0bd70861ab431, https://www.notion.so/Aave-interest-bearing-USDT-1467c1bfce1543ab8b7b37ee30425fcc, https://www.notion.so/Iron-Bank-Yearn-Tether-USD-fc1f79c9b4544a399d31efdc88603b35, https://www.notion.so/Compound-USDT-5c42648abbd9455f818c8182d3e25a04, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/yearn-finance-4edf0ba406854327bac4075f1a1a635b, https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501, https://www.notion.so/Aave-Token-Ethereum-cc37c336d23f4d13a1091c978a2f9394","Wrapped Ether (Ethereum),Ankr Eth2 Reward Bearing Certificate,agEUR (Ethereum),Alchemix ETH (Ethereum),Alpha Token,Alchemix USD (Ethereum),Axie Infinity Shard,Balancer (Ethereum),Bend Token,Boosted LUSD,Bancor,Binance Wrapped BTC,renBTC (Ethereum),Wrapped BTC (Ethereum),BTRFLY,Binance USD (Ethereum),Coinbase Wrapped Staked ETH,Compound Collateral,Compound,Convex CRV,Curve DAO Token (Ethereum),Convex Token,iearn DAI,Aave interest bearing DAI,Dai Stablecoin,Iron Bank (Yearn) Dai Stablecoin,dYdX,Ethereum Name Service,Lido Staked ETH,Ether,Fei USD,Fidu,Manifold Finance,Frax (Ethereum),Frax Ether,Convex FXS,Frax Share (Ethereum),Gemini dollar,Illuvium,ChainLink Token (Ethereum),LooksRare Token,LUSD Stablecoin (Ethereum),Stader MaticX (Ethereum),Matic Token (Ethereum),Magic Internet Money (Ethereum),Maker (Ethereum),multiBTC,mStable USD,NXM,Olympus,Origin Dollar,Rocket Pool ETH (Ethereum),THORChain ETH.RUNE,SAND,Synth BTC,Staked Frax Ether,Wrapped SOL (Wormhole Ethereum),Spell Token (Ethereum),Lido Staked MATIC (Ethereum),Synth USD,Sushi Token (Ethereum),TrueUSD (Ethereum),Uniswap (Ethereum),iearn USDC,Aave interest bearing USDC,Iron Bank (Yearn) USD Coin,Compound USD Coin,USD Coin (Ethereum),iearn USDT,Aave interest bearing USDT,Iron Bank (Yearn) Tether USD,Compound USDT,Tether USD (Ethereum),yearn.finance,Wrapped stETH,Aave Token (Ethereum)"
Avalanche,"https://www.notion.so/Bitcoin-Avalanche-2de24b38cae0456cae081e884df080cc, https://www.notion.so/Wrapped-BTC-Avalanche-077cea2b925c4e14aa44214c5da185d2, https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60, https://www.notion.so/Aave-Avalanche-Market-Dai-3f89c6719f8b4f049615daf494a33803, https://www.notion.so/Wrapped-Ether-Avalanche-3941b23b98a34db89b78a300533d7975, https://www.notion.so/Frax-Avalanche-5dc03db5cfde477fb95e9c57e350b350, https://www.notion.so/GMX-LP-Avalanche-b5c216cc89154dd186eddd08618f7493, https://www.notion.so/Joe-Token-fc8d954262144bd1aeb4eb9b9bb21d8f, https://www.notion.so/Magic-Internet-Money-Avalanche-bb660b5e4597477b9aeb938be4fd4a8d, https://www.notion.so/miMATIC-Avalanche-c08175deb0c3487c811810a0a579e3d3, https://www.notion.so/Moremoney-USD-fa4d70c77e304acbb5b978d8d332005a, https://www.notion.so/Synapse-ETH-Avalanche-f2d307c1ff984407b35f744ae8cad646, https://www.notion.so/Synapse-USD-Avalanche-d879b28428904bb98e62d5b548678d12, https://www.notion.so/Benqi-Liquid-Staked-AVAX-6576b2eaa3004735bedd7994d8c4c2c7, https://www.notion.so/Wrapped-SOL-Wormhole-Avalanche-1985add999054355be6cf3ee5da91806, https://www.notion.so/USD-Coin-Native-Avalanche-505faddf33824d36b069fd787d2dc379, https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a, https://www.notion.so/Aave-Avalanche-Market-USDC-f93605d15cf24f538731c5668d774b64, https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77, https://www.notion.so/Aave-Avalanche-Market-USDT-62ba49668bf543b5a46b0cae7d1c8936, https://www.notion.so/Tether-USD-Avalanche-ab8398ee64df4afe90a3cbac6fc9859d, https://www.notion.so/Tether-Token-native-Avalanche-d26808b765454086a2951aa642fdbb01, https://www.notion.so/YUSD-Stablecoin-0dfc595e01914ca285714f696913fd17, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6","Bitcoin (Avalanche),Wrapped BTC (Avalanche),Dai Stablecoin (Avalanche),Aave Avalanche Market Dai,Wrapped Ether (Avalanche),Frax (Avalanche),GMX LP (Avalanche),Joe Token,Magic Internet Money (Avalanche),miMATIC (Avalanche),Moremoney USD,Synapse ETH (Avalanche),Synapse USD (Avalanche),Benqi Liquid Staked AVAX,Wrapped SOL (Wormhole Avalanche),USD Coin (Native Avalanche),Wrapped Ether (Avalanche),Aave Avalanche Market USDC,USD Coin Avalanche Bridged,Aave Avalanche Market USDT,Tether USD (Avalanche),Tether Token (native Avalanche),YUSD Stablecoin,Avalanche"
Fantom,"https://www.notion.so/Avalanche-Fantom-80d2a2374f9141fc935863bb5aff0671, https://www.notion.so/SpookyToken-ca0e2fe038f948119e1a163b7020328b, https://www.notion.so/Bitcoin-Fantom-8eb901ff227043ae862eb08a431a5c19, https://www.notion.so/Dai-Stablecoin-Fantom-08ce915fb42446beb656af5fdb310a64, https://www.notion.so/DEI-032e10fff5d242598b3bc0036222724b, https://www.notion.so/Ether-Fantom-a60518abbb1d4241b6e618f56ed882c3, https://www.notion.so/Wrapped-Fantom-21203dec552846da97c686dba3c9ea2c, https://www.notion.so/Fantom-099074c6a5e846a19c2911ffb4209fd4, https://www.notion.so/MATIC-Fantom-be23c8c29e6744cfb9e84b765ceccb60, https://www.notion.so/Magic-Internet-Money-Fantom-411f574fdda94eaeba7578c473804c7d, https://www.notion.so/miMATIC-Fantom-cfe0ba3fa674468d99a5a729403b3800, https://www.notion.so/SOL-Fantom-9fed763615044a828c6af1867536ef11, https://www.notion.so/USD-Coin-Fantom-62a69620e38f465ab7b3fbb36d336b01, https://www.notion.so/Frapped-USDT-Fantom-57fb2c52078d42df95004240d2f02abc","Avalanche (Fantom),SpookyToken,Bitcoin (Fantom),Dai Stablecoin (Fantom),DEI,Ether (Fantom),Wrapped Fantom,Fantom,MATIC (Fantom),Magic Internet Money (Fantom),miMATIC (Fantom),SOL (Fantom),USD Coin (Fantom),Frapped USDT (Fantom)"
Optimism,"https://www.notion.so/Alchemix-USD-Optimism-6a23b74f76504d339e39d89811562dc3, https://www.notion.so/Wrapped-BTC-Optimism-d62e75786298497b88bf31e19e771af2, https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66, https://www.notion.so/Wrapped-Ether-Optimism-352d8ee66f4d405e9219c450d3d9fc96, https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5, https://www.notion.so/Frax-Optimism-7ee754a0beff455ea0dba14cc4416857, https://www.notion.so/LUSD-Stablecoin-Optimism-470efeec3ab240db8c40a92c2778c740, https://www.notion.so/Mai-Stablecoin-Optimism-e8500a9b9aa446559ed56991c951e712, https://www.notion.so/Synapse-ETH-Optimism-84f5c570f169425ba979432d019f4288, https://www.notion.so/Synapse-USD-Optimism-29e2584204c64a059dac0ca335400bc0, https://www.notion.so/Optimism-5af2ff956ea14d0bbf162c6c1199d7f2, https://www.notion.so/Rocket-Pool-ETH-Optimism-681fea0bd0a949a29e17060066bd68cc, https://www.notion.so/Synth-BTC-Optimism-55030a82ddd742b18dab05630e50ab19, https://www.notion.so/Synthetix-Network-Token-1cc2fd09143e432b8c5abeec08b5d09b, https://www.notion.so/Synth-USD-Optimism-012810cb4e0549f49efb1892a573afb3, https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/USD-a6df89c5b63b4e81937af363eb539e1b, https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb","Alchemix USD (Optimism),Wrapped BTC (Optimism),Dai Stablecoin (Optimism),Wrapped Ether (Optimism),Ether (Optimism),Frax (Optimism),LUSD Stablecoin (Optimism),Mai Stablecoin (Optimism),Synapse ETH (Optimism),Synapse USD (Optimism),Optimism,Rocket Pool ETH (Optimism),Synth BTC (Optimism),Synthetix Network Token,Synth USD (Optimism),USD Coin (Optimism),USD+,Tether USD (Optimism)"
Polygon,"https://www.notion.so/Wrapped-AVAX-Wormhole-Polygon-e4378174e3d048019e93d05fba233bd7, https://www.notion.so/Wrapped-BTC-PoS-Polygon-414791a3d66e44ddaa1d9e633b4e3d59, https://www.notion.so/renBTC-Polygon-f50de341e0544090956b55c346dfa6dd, https://www.notion.so/Aave-Matic-Market-DAI-18d6510edf304d5283826d1c63ab5c57, https://www.notion.so/Dai-Stablecoin-PoS-Polygon-b008df7a3ed44f6ba265a4aebe9a58d0, https://www.notion.so/Wrapped-Ether-PoS-Polygon-63f36aeca52a416a8f7a6534435bc69f, https://www.notion.so/Gains-Network-2fda28ad67e648ae9b6add06006b23a5, https://www.notion.so/Wrapped-MATIC-f05cfef79b814a7984c45d3e37d1dd38, https://www.notion.so/Stader-MaticX-Polygon-860e0182ce9940f88874784cc27f3b99, https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15, https://www.notion.so/miMATIC-PoS-Polygon-8289a31ba5294684a127ab8b691d35a3, https://www.notion.so/Synapse-USD-Polygon-9b75da1dce4a464fbf6f76705ead4ed7, https://www.notion.so/Governance-OHM-7076e34bf7cc4dd5889ab98b65964a66, https://www.notion.so/Wrapped-SOL-Wormhole-Polygon-cdf84cf245444141862a1c59740f4fce, https://www.notion.so/Aave-Matic-Market-USDC-52b8dbb076ff4aaa9b51872753e10ee5, https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/Tether-USD-PoS-Polygon-f7228cfada3b4c2b94e836181091cd7d, https://www.notion.so/Lido-Staked-MATIC-Polygon-6d4bdaf5af1445acb09b530ceccc2779","Wrapped AVAX (Wormhole Polygon),Wrapped BTC (PoS Polygon),renBTC (Polygon),Aave Matic Market DAI,Dai Stablecoin (PoS Polygon),Wrapped Ether (PoS Polygon),Gains Network,Wrapped MATIC,Stader MaticX (Polygon),MATIC,miMATIC (PoS Polygon),Synapse USD (Polygon),Governance OHM,Wrapped SOL (Wormhole Polygon),Aave Matic Market USDC,USD Coin (PoS Polygon),Tether USD (PoS Polygon),Lido Staked MATIC (Polygon)"
Solana,"https://www.notion.so/Wrapped-AVAX-Wormhole-Solana-3113d79d68a1410eae93f8324598eb7d, https://www.notion.so/Wrapped-Ether-Wormhole-Solana-0bc754927a4f4ccb9e8d3a96cf1db75d, https://www.notion.so/Wrapped-FTT-Wormhole-4866169fbf204297a0ec344633d75fca, https://www.notion.so/SOL-f8685a5af633437a90071cab4c6cf071, https://www.notion.so/Serum-b1cbfc311f5e46e282f0c75f267cfda5, https://www.notion.so/USD-Coin-Native-Solana-b0430fe3f8d44468aae4d221c5f45bc0, https://www.notion.so/Tether-USD-Native-Solana-dc47a55d63dd4053a3258e2f32e0eec0","Wrapped AVAX (Wormhole Solana),Wrapped Ether (Wormhole Solana),Wrapped FTT (Wormhole),SOL,Serum,USD Coin (Native Solana),Tether USD (Native Solana)"
BNB Chain,"https://www.notion.so/Binance-Chain-Native-Token-5419ec49379640fe889b03312dcdd939, https://www.notion.so/Wrapped-BNB-20ed35dd23a3403799a548386916a76d, https://www.notion.so/Binance-Peg-BTCB-Token-4c535e60b5b2497cab26731b8918e2a8, https://www.notion.so/Binance-Peg-BUSD-Token-BNB-Chain-d166c7036d554bdb9ebc33f90e70baaf, https://www.notion.so/Dai-Stablecoin-BNB-Chain-0e120024d1b24ca79f786e3600dc69d6, https://www.notion.so/Binance-Peg-Ethereum-Token-c4f2f0c3ee58409799b6302c8153bb7a, https://www.notion.so/Synapse-USD-BNB-Chain-e8e0a01f40114e8c8e00080bf17ef778, https://www.notion.so/SOL-Wormhole-BNB-Chain-e6aee09867ab4746abead33d5e15dabd, https://www.notion.so/Binance-Peg-USD-Coin-5c2a708661b146ab9a669b22a3768461, https://www.notion.so/Binance-Peg-BSC-USD-751e42f80a8d4f0181e6eccb259e6bd5","Binance Chain Native Token,Wrapped BNB,Binance-Peg BTCB Token,Binance-Peg BUSD Token (BNB Chain),Dai Stablecoin (BNB Chain),Binance-Peg Ethereum Token,Synapse USD (BNB Chain),SOL (Wormhole BNB Chain),Binance-Peg USD Coin,Binance-Peg BSC-USD"
Arbitrum,"https://www.notion.so/Wrapped-BTC-Arbitrum-3a94e1991a23447b88e7e5188f75742f, https://www.notion.so/Dai-Stablecoin-Arbitrum-c638e30b113848fab176a063ab58e87e, https://www.notion.so/Dopex-Governance-Token-5f7d487165b1425bbe72ee941c74ab0d, https://www.notion.so/Ether-Arbitrum-618dc9ce2caf471db17711489cc652c6, https://www.notion.so/Frax-Arbitrum-bae5fc3d5cbb48e9b18e9eca61d204c4, https://www.notion.so/GMX-LP-Arbitrum-ca6a6dae77954c84ab68c7d977e9b3a5, https://www.notion.so/GMX-cf3ed67e645c4268934e904a1d17f1d3, https://www.notion.so/ChainLink-Token-Arbitrum-f3ef42949ce947038d769be14bf05fbb, https://www.notion.so/Magic-Internet-Money-Arbitrum-56c14b4593304ae092f79e699896609f, https://www.notion.so/Mycelium-LP-e1cfd289ad2444c88d172136311feadd, https://www.notion.so/Mycelium-04cb864ee5894fe482c5dda8f70d0e2b, https://www.notion.so/Synapse-ETH-Arbitrum-7e55b7d3704a45c0b80be81d497c60d7, https://www.notion.so/Synapse-USD-Arbitrum-d6ea68b7e21e47dc836be115c11b1674, https://www.notion.so/Dopex-Rebate-Token-7de6d60061104d56b50313841d60fa72, https://www.notion.so/Uniswap-Arbitrum-3033ca3ecb24463da2f1052e6fc495d9, https://www.notion.so/UMAMI-aef8b4ed5f5e46aabb22334d5e05d5e0, https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0, https://www.notion.so/Tether-USD-Arbitrum-35225ab62f8844a5a5ded091704def40","Wrapped BTC (Arbitrum),Dai Stablecoin (Arbitrum),Dopex Governance Token,Ether (Arbitrum),Frax (Arbitrum),GMX LP (Arbitrum),GMX,ChainLink Token (Arbitrum),Magic Internet Money (Arbitrum),Mycelium LP,Mycelium,Synapse ETH (Arbitrum),Synapse USD (Arbitrum),Dopex Rebate Token,Uniswap (Arbitrum),UMAMI,USD Coin (Arbitrum),Tether USD (Arbitrum)"
DeFiChain,"https://www.notion.so/DeFiChain-Bitcoin-f596c2d3bcf544f49a5cda7b5786eb52, https://www.notion.so/DeFiChain-0cb8b70f893041c481a40d534d365c5e, https://www.notion.so/Decentralized-USD-e768f69eee0c40f890b4e9ea2b3723af, https://www.notion.so/DeFiChain-Ether-00db3f4c413c423cbbdec47d93dc40ba, https://www.notion.so/DeFiChain-USD-Coin-48b387ee6dcb42ab8eee154644a451be, https://www.notion.so/DeFiChain-Tether-USD-0f75b765e2734cabb8636670fc0139e6","DeFiChain Bitcoin,DeFiChain,Decentralized USD,DeFiChain Ether,DeFiChain USD Coin,DeFiChain Tether USD"
Cronos,"https://www.notion.so/CRO-eb2a4742dfb74b62abdfb8da5e094fc9, https://www.notion.so/Wrapped-CRO-ab60079cd2fd46be8c5bdf7f9d6a043f, https://www.notion.so/Wrapped-Ether-Cronos-58cc7b8fdc2a4e90980c3b01ce7b0f0c, https://www.notion.so/USD-Coin-Cronos-83149382be3e4af0bb7e40188ff9b530, https://www.notion.so/Tether-USD-Cronos-90489bab1c9e4d8994f6dbaf7fa8f616","CRO,Wrapped CRO,Wrapped Ether (Cronos),USD Coin (Cronos),Tether USD (Cronos)"
Waves,"https://www.notion.so/USD-Coin-Waves-71c18d523d0e4b18a04e66d9be2d4569, https://www.notion.so/Neutrino-USD-Waves-4dcd691475894d2a9a24ddb0c5dd2274, https://www.notion.so/Tether-USD-Waves-73f54486f8c34d288b13fa469c4bf412","USD Coin (Waves),Neutrino USD (Waves),Tether USD (Waves)"
Tron,https://www.notion.so/Decentralized-USD-8c57883ad8e54b7b941f06c12fa1d364,Decentralized USD